"FACULTY_NAME","FACULTY","COURSETITLE","SUBJECT","COURSE_NUMBER","CREDIT","COURSE_TITLE","SECTION","INSTRUCTOR_NAME"
"Faculty of Liberal Arts and Professional Studies","AP","Fixed Income Securities and Risk Management","ADMS","4504","3","Fixed Income Securities & Risk Managemen","A","Xiaofei , Li"
"Faculty of Liberal Arts and Professional Studies","AP","Fixed Income Securities and Risk Management","ADMS","4504","3","Fixed Income Securities & Risk Managemen","M","Saikat , Sarkar"
"Faculty of Liberal Arts and Professional Studies","AP","Fixed Income Securities and Risk Management","ADMS","4504","3","Fixed Income Securities & Risk Managemen","N","Saikat , Sarkar"
"Faculty of Liberal Arts and Professional Studies","AP","Food and Writing","EN","4002","6","Food and Writing","A","David B. B., Goldstein"
"Faculty of Liberal Arts and Professional Studies","AP","Food. Eating. and Nutrition in Cross-cultural Pers","ANTH","3190","6","Food. Eating. and Nutrition","A","Karl , Schmid"
"Faculty of Liberal Arts and Professional Studies","AP","Foreign Language and Digital Media: Developing Ski","SP","4990","3","Foreign Language and Digital Media","A","Maria L , Figueredo"
"Faculty of Liberal Arts and Professional Studies","AP","Foundational Communication & Media Theory","CMDS","2100","3","Communication & Media Theory","A","Antara , Dey"
"Faculty of Liberal Arts and Professional Studies","AP","Foundational Communication & Media Theory","CMDS","2100","3","Communication & Media Theory","A","Farshad , Fakhimi Hassanzad"
"Faculty of Liberal Arts and Professional Studies","AP","Foundational Communication & Media Theory","CMDS","2100","3","Communication & Media Theory","A","Robert Maxwell Maxwell, Gill"
"Faculty of Liberal Arts and Professional Studies","AP","Foundational Communication & Media Theory","CMDS","2100","3","Communication & Media Theory","M","Elisa , Arca Jarque"
"Faculty of Liberal Arts and Professional Studies","AP","Foundational Communication & Media Theory","CMDS","2100","3","Communication & Media Theory","M","MariaJulia , Tavera Colugna"
"Faculty of Liberal Arts and Professional Studies","AP","Foundational Communication & Media Theory","CMDS","2100","3","Communication & Media Theory","M","Mark P. , Hayward"
"Faculty of Liberal Arts and Professional Studies","AP","Foundational Communication & Media Theory","CMDS","2100","3","Communication & Media Theory","M","Sara , Bimo"
"Faculty of Liberal Arts and Professional Studies","AP","Foundations of Global Political Studies","GLBL","2000","3","Foundations of Global Political Studies","A","Anna M , Agathangelou"
"Faculty of Liberal Arts and Professional Studies","AP","Foundations of Human Resource Management","HRM","1000","3"," Foundations of HRM","A","Ronald , Alexandrowich"
"Faculty of Liberal Arts and Professional Studies","AP","Foundations of Human Resource Management","HRM","1000","3"," Foundations of HRM","M","Ronald , Alexandrowich"
"Faculty of Liberal Arts and Professional Studies","AP","Foundations of Political Economy","POLS","3297","3","Foundations of Political Economy","M","Jeffery Roger , Webber"
"Faculty of Liberal Arts and Professional Studies","AP","Foundations of Social Work Research","SOWK","3070","3","Foundations of Social Work Research","A","Renee , Sloos"
"Faculty of Liberal Arts and Professional Studies","AP","Foundations of Social Work Research","SOWK","3070","3","Foundations of Social Work Research","A","Tanice , Lewis"
"Faculty of Liberal Arts and Professional Studies","AP","Foundations of Social Work Research","SOWK","3070","3","Foundations of Social Work Research","B","Daniel , Kikulwe"
"Faculty of Liberal Arts and Professional Studies","AP","Foundations of Social Work Research","SOWK","3070","3","Foundations of Social Work Research","M","Rick , Sin"
"Faculty of Liberal Arts and Professional Studies","AP","Foundations of Social Work Research","SOWK","3070","3","Foundations of Social Work Research","N","Kinnon Ross , MacKinnon"
"Faculty of Liberal Arts and Professional Studies","AP","Freedom. Determinism and Responsibility","PHIL","2170","3","Freedom. Determinism and Responsibility","A","Oisin , Deery"
"Faculty of Liberal Arts and Professional Studies","AP","French Language & Culture","FR","1080","6","French Language & Culture","A","Roxaneh , Naghshi"
"Faculty of Liberal Arts and Professional Studies","AP","French Language & Culture","FR","1080","6","French Language & Culture","B","Lukas , Arnason"
"Faculty of Liberal Arts and Professional Studies","AP","French Language & Culture","FR","1080","6","French Language & Culture","D","Elsa , Michael"
"Faculty of Liberal Arts and Professional Studies","AP","French Language and Culture (CEFR B1)","FR","1080","6","French Language and Culture (CEFR B1)","A","Elsa , Michael"
"Faculty of Liberal Arts and Professional Studies","AP","French Literature. Culture. and Society: Growth of","FR","3381","3","French Literature. Culture & Society I","A","Ibrahim Hamid , Badr"
"Faculty of Liberal Arts and Professional Studies","AP","French Literature. Culture. and Society: The Chall","FR","3382","3","French Literature. Culture & Society II","M","Ibrahim Hamid , Badr"
"Faculty of Liberal Arts and Professional Studies","AP","From Settler Colonialism to Multiculturalism: An A","ANTH","2222","6","Settler Colonialism to Multiculturalism","A","Lisa , Davidson"
"Faculty of Liberal Arts and Professional Studies","AP","From the Defeat of Fascism to the Fall of Communis","HIST","3395","6","From Fascism Through Communism: Europe","A","Alban , Bargain"
"Faculty of Liberal Arts and Professional Studies","AP","From the Defeat of Fascism to the Fall of Communis","HIST","3395","6","From Fascism Through Communism: Europe","A","Angelo Nicholas , Laskaris"
"Faculty of Liberal Arts and Professional Studies","AP","From the Defeat of Fascism to the Fall of Communis","HIST","3395","6","From Fascism Through Communism: Europe","A","Iason-Nikolaos , Rodopoulos"
"Faculty of Liberal Arts and Professional Studies","AP","From the Defeat of Fascism to the Fall of Communis","HIST","3395","6","From Fascism Through Communism: Europe","A","Ransford , Tei"
